ID,名称,★,レアリティ,状態,ダンジョン,入手区分,部位,武器種,ATK,MAG_ATK,DEF,MDEF,基礎能力補正,特殊効果,シリーズ,推奨JOB,説明
goblinEarring,ゴブリンの耳飾り,,epic,現行,,,accessory,,0,0,0,0,"{""agi"":2,""luk"":2}",,,,ゴブリンの首領が着けていたという耳飾り。微かな加護が宿る。
manaStone,マナストーン,,rare,旧装備,,,accessory,,0,0,0,0,,,,,マナの結晶を加工した護石。MPと魔力が増大する。
shadowAmulet,影の護符,,rare,旧装備,,,accessory,,0,0,0,0,,,,,影の力が宿った護符。守りと精神を底上げする。
phantomBadge,怪盗バッジ,,epic,旧装備,,,accessory,,0,0,0,0,,,,,怪盗の証。すべての能力をまんべんなく高める万能の証。
silverRing,銀の指輪,,common,旧装備,,,accessory,,0,0,0,0,,,,,磨かれた銀の指輪。運と体力を引き上げる。
moonlightCharm,月光の護符,,rare,旧装備,,,accessory,,0,0,0,0,,"{""healingPowerPercent"":0.08,""magicDamageReductionPercent"":0.03}",,,月光を編み込んだ護符。
rubyMagicStone,紅玉の魔石,,uncommon,旧装備,,,accessory,,0,0,0,0,,"{""fireDamagePercent"":0.05}",,,炎の魔力を増幅する紅い魔石。
infernoStone,獄炎の魔石,,rare,旧装備,,,accessory,,0,0,0,0,,"{""fireDamagePercent"":0.08}",,,獄炎の芯を宿した魔石。
cursedNecklace,呪われた首飾り,,epic,現行,,,accessory,,0,0,0,0,"{""mag"":3,""luk"":-1}",,,,呪いを宿す首飾り。身につける者に力を与えるという。
shuraMagatama,修羅の勾玉,,rare,旧装備,,,accessory,,0,0,0,0,,"{""criticalRateBonus"":0.05}",,,修羅の血が滲む勾玉。
silverCharm,聖銀の護符,,uncommon,旧装備,,,accessory,,0,0,0,0,,"{""healingPowerPercent"":0.05}",,,聖銀で編まれた癒やしの護符。
warDemonFang,戦鬼の牙,,rare,旧装備,,,accessory,,0,0,0,0,,"{""physicalDamagePercent"":0.06}",,,戦いの鬼が遺した牙。
fangOfWill,闘志の牙,,uncommon,旧装備,,,accessory,,0,0,0,0,,"{""physicalDamagePercent"":0.03}",,,噛み締めるほど力が湧く獣の牙。
tigerFang,猛虎の牙,,uncommon,旧装備,,,accessory,,0,0,0,0,,"{""criticalRateBonus"":0.03}",,,急所を見抜く猛虎の牙。
leatherGloves,レザーグローブ,,common,旧装備,,,arms,,0,0,0,0,,,,,薄い革を二重に縫い合わせたグローブ。器用さと防御を両立。
phantomGloves,怪盗グローブ,,epic,旧装備,,,arms,,0,0,0,0,,,,,怪盗御用達の精密グローブ。器用さと機動力を同時に引き上げる。
mightGauntlet,剛腕の篭手,,uncommon,旧装備,,,arms,,4,0,2,0,,,,,腕力を底上げする鋼の篭手。
mercyBangle,慈愛の腕輪,,rare,旧装備,,,arms,,0,0,0,5,,"{""healingPowerPercent"":0.07}",,,慈しみの力を増幅する腕輪。
galeTekko,疾風の手甲,,uncommon,旧装備,,,arms,,2,0,2,0,,"{""criticalRateBonus"":0.02}",,,急所を突く精度を高める手甲。
blazeBangle,灼熱の腕輪,,rare,旧装備,,,arms,,0,7,0,0,,"{""fireDamagePercent"":0.03}",,,炎を握り込む灼熱の腕輪。
roughGloves,粗削りグローブ,,common,旧装備,,,arms,,0,0,0,0,,,,,鼠の毛皮を丸めて作ったグローブ。器用さが微増する。
